,Month,Deaths,LSTM Predictions,SARIMA Predictions
0,2015-01-01,2771,0.0,0.0
1,2015-02-01,2627,0.0,2374.844442837437
2,2015-03-01,2907,0.0,2739.695909158926
3,2015-04-01,2822,2807.614990234375,2821.1095994020243
4,2015-05-01,2850,2812.673095703125,2858.638137351528
5,2015-06-01,2634,2928.941162109375,2836.224247864585
6,2015-07-01,2734,2854.5654296875,2685.2814741836546
7,2015-08-01,2810,2815.98388671875,2701.074664129885
8,2015-09-01,2925,2756.45556640625,2799.681878276099
9,2015-10-01,2970,2853.40966796875,2901.30771303221
10,2015-11-01,2739,2937.949462890625,2964.7489781989057
11,2015-12-01,2718,2965.688720703125,2791.9035149533643
12,2016-01-01,3098,2907.366455078125,4664.446980877921
13,2016-02-01,3416,2858.561279296875,3325.5472776976567
14,2016-03-01,3721,3035.204345703125,3509.51539828518
15,2016-04-01,3608,3387.989501953125,3662.606165062633
16,2016-05-01,3475,3625.466064453125,3638.2384469626973
17,2016-06-01,3384,3713.982177734375,3286.282474665737
18,2016-07-01,3668,3596.265869140625,3452.0607522631835
19,2016-08-01,3624,3554.492431640625,3709.608750808333
20,2016-09-01,3518,3595.056884765625,3777.7460182510886
21,2016-10-01,3695,3701.210205078125,3616.964222873382
22,2016-11-01,3745,3678.146240234375,3407.8356480023695
23,2016-12-01,4044,3693.79736328125,3685.486406775172
24,2017-01-01,4332,3855.679931640625,4264.992913709214
25,2017-02-01,4006,4034.962158203125,4696.848357084572
26,2017-03-01,4252,4216.49560546875,4419.343965698962
27,2017-04-01,4056,4298.61962890625,4137.026422582867
28,2017-05-01,4129,4180.67138671875,3994.168474438697
29,2017-06-01,3950,4251.86572265625,3954.193755303934
30,2017-07-01,3980,4144.37060546875,4202.34564528719
31,2017-08-01,4000,4127.0107421875,4016.074951903773
32,2017-09-01,4022,4051.87548828125,3945.476190407461
33,2017-10-01,3832,4077.634521484375,4150.450673102987
34,2017-11-01,3820,4058.415771484375,3868.3610450530473
35,2017-12-01,4017,4004.012939453125,4017.4312774304785
36,2018-01-01,4008,3943.438720703125,4288.251999178967
37,2018-02-01,3671,4001.102783203125,4006.763340302655
38,2018-03-01,4155,4031.327880859375,3991.626517935864
39,2018-04-01,3922,4007.919189453125,3946.1588365461175
40,2018-05-01,4079,3956.362060546875,3953.2686411704726
41,2018-06-01,4063,4149.63232421875,3874.809411707284
42,2018-07-01,4085,4082.894775390625,4162.4130065939
43,2018-08-01,4061,4159.80322265625,4125.323170504699
44,2018-09-01,3882,4154.54736328125,4064.024847058771
45,2018-10-01,3999,4123.17333984375,3894.431850102902
46,2018-11-01,3692,4074.316162109375,3916.9953959605755
47,2018-12-01,3976,3965.3056640625,3961.5944443951166
48,2019-01-01,3931,3965.305908203125,4066.4653482623075
49,2019-02-01,3727,3974.021240234375,3925.699672964015
50,2019-03-01,4285,3913.8466796875,4280.742985047689
51,2019-04-01,3934,4040.967041015625,4105.937013516101
52,2019-05-01,4100,4049.72314453125,4158.24365968396
53,2019-06-01,4112,4063.6796875,4057.753125615842
54,2019-07-01,4296,4132.41357421875,4154.347121244781
55,2019-08-01,4371,4154.580078125,4150.264710180533
56,2019-09-01,4252,4188.56787109375,4076.12358525256
57,2019-10-01,4529,4236.587890625,4127.190535942772
58,2019-11-01,4560,4268.087890625,3976.694099731176
59,2019-12-01,4645,4306.94580078125,4209.919711254388
